sweep,exposure,seq_num,focus_z,physical_filter,rms_px,fwhm_px,qfm_fwhm,peak
20260623_457-481,2026062300461,461,0.025495050475001335,empty~empty,9.30800014978777,21.9203403527502,1.547029754005038,50758.42022705078
20260623_457-481,2026062300462,462,0.025510050356388092,empty~empty,8.617281237294808,20.293697313829274,1.3806554043274482,64038.406814575195
20260623_457-481,2026062300463,463,0.025520050898194313,empty~empty,8.950286150921656,21.0779238854205,1.3743119610006653,63353.11196899414
20260623_457-481,2026062300464,464,0.025530051440000534,empty~empty,10.40106755960556,24.494514102871094,1.323478108645788,56330.25633239746
20260623_457-481,2026062300465,465,0.02554505132138729,empty~empty,32.447556800892656,76.4139962661022,30.683437811159877,24416.69451904297
20260623_457-481,2026062300466,466,0.025555051863193512,empty~empty,32.1344000216111,75.67651205089415,32.5974911977015,28626.9501953125
20260623_457-481,2026062300467,467,0.02557005174458027,empty~empty,26.299030090940697,61.93421586416534,24.577664292656895,553.131462097168
20260623_457-481,2026062300468,468,0.025595050305128098,empty~empty,28.463694441095203,67.0320004087792,17.66349332669001,297.7124328613281
20260623_457-481,2026062300469,469,0.025620050728321075,empty~empty,25.858805468871928,60.89748687919339,3.161899608647885,426.0569076538086
20260623_457-481,2026062300470,470,0.02542005106806755,empty~empty,25.65556539952288,60.418856515876385,0.5438307055952447,4129.883560180664
20260623_457-481,2026062300471,471,0.02544505149126053,empty~empty,25.399203032632993,59.8151231418507,0.6387040063792042,1701.1374740600586
20260623_457-481,2026062300472,472,0.025470051914453506,empty~empty,25.905961554521785,61.0085394608988,11.526392913097062,1034.2515106201172
20260623_457-481,2026062300473,473,0.025485051795840263,empty~empty,32.13838582360089,75.6858986145801,36.263731582907376,433.84706115722656
20260623_457-481,2026062300474,474,0.025495050475001335,empty~empty,25.242847701349465,59.44690633667799,69.27443494153688,1227.194808959961
20260623_457-481,2026062300475,475,0.025510050356388092,empty~empty,25.047492763291327,58.98684545755108,21.212507557871376,1377.4048614501953
20260623_457-481,2026062300477,477,0.025530051440000534,empty~empty,27.35207945800164,64.41414712359386,0.7688684675225493,467.9910125732422
20260623_457-481,2026062300478,478,0.02554505132138729,empty~empty,26.83056216562962,63.18597390005775,0.06505632631669153,388.38844299316406
20260623_457-481,2026062300479,479,0.025555051863193512,empty~empty,25.295118149381484,59.570003241793394,52.32211486881832,1132.1904678344727
20260623_457-481,2026062300480,480,0.02557005174458027,empty~empty,25.493861573667854,60.03804400598779,12.25919213950116,1109.0325317382812
20260623_457-481,2026062300481,481,0.025595050305128098,empty~empty,25.06783406638221,59.034749226330106,39.44631605553023,1383.350486755371
20260623_488-500,2026062300488,488,-0.013178544119000435,empty~empty,15.016844898810835,35.36466973669952,1.3431375284127647,97953.8828125
20260623_488-500,2026062300489,489,-0.013153544627130032,empty~empty,14.899778881572354,35.088979266102896,1.389035489777731,96246.8818359375
20260623_488-500,2026062300490,490,-0.013128544203937054,empty~empty,14.996600087579477,35.31699320624967,1.4580811227750927,97089.9931640625
20260623_488-500,2026062300491,491,-0.013113544322550297,empty~empty,14.773466462764604,34.79151351981064,1.1732562427864663,97178.42651367188
20260623_488-500,2026062300492,492,-0.01310354471206665,empty~empty,14.844301333995428,34.95832964155923,1.2565743901419348,96922.86889648438
20260623_488-500,2026062300493,493,-0.013088543899357319,empty~empty,14.901999984295232,35.094209963015274,1.278770048608255,96890.47265625
20260623_488-500,2026062300494,494,-0.013078544288873672,empty~empty,14.916957070621478,35.12943390131358,1.3538242763918227,97185.7744140625
20260623_488-500,2026062300495,495,-0.013068544678390026,empty~empty,14.797572049255114,34.84828217599579,1.1919243951465506,97894.9580078125
20260623_488-500,2026062300496,496,-0.013053543865680695,empty~empty,14.794967168536415,34.842147681903256,1.2510963392325567,96850.08203125
20260623_488-500,2026062300497,497,-0.013043544255197048,empty~empty,14.95653028280352,35.22262881600229,1.284889510227935,99394.44873046875
20260623_488-500,2026062300498,498,-0.013028544373810291,empty~empty,14.747477942959168,34.730310555668844,1.1915729217930835,99564.24780273438
20260623_488-500,2026062300499,499,-0.013003543950617313,empty~empty,14.821147664993074,34.90380275105869,1.2000578849036396,97197.50732421875
20260623_488-500,2026062300500,500,-0.01297854445874691,empty~empty,14.855940736413029,34.98574043425268,1.1852487625381003,96852.38818359375
20260624_602-616,2026062400602,602,-0.103141866624355,empty~empty,14.379998005508769,33.86489530297315,2.117848768481994,73745.65063476562
20260624_602-616,2026062400603,603,-0.0781418606638908,empty~empty,14.099564548027228,33.20447451060412,1.7811566731033126,52379.96618652344
20260624_602-616,2026062400604,604,-0.053141862154007,empty~empty,13.935794964233798,32.81879714077059,1.5518915087690677,50868.38854980469
20260624_602-616,2026062400605,605,-0.0281418617814779,empty~empty,13.796116757076282,32.48985496291464,1.257418046199981,53616.97229003906
20260624_602-616,2026062400606,606,-0.0181418620049953,empty~empty,13.860814864159195,32.6422190050949,1.5240624153671702,59560.69689941406
20260624_602-616,2026062400607,607,-0.0131418621167541,empty~empty,13.771208215657808,32.43119534787414,1.3152995131546263,49677.07067871094
20260624_602-616,2026062400608,608,-0.00814186222851276,empty~empty,13.870808377920566,32.66575373000293,1.3716879544450207,52397.34716796875
20260624_602-616,2026062400609,609,-0.00314186257310212,empty~empty,14.004525493270112,32.980657536651115,1.6540377617115336,61870.70458984375
20260624_602-616,2026062400610,610,0.00185813731513917,empty~empty,13.883285938079286,32.695138384176715,1.4603269650436406,62627.12219238281
20260624_602-616,2026062400611,611,0.00685813743621111,empty~empty,13.75684099335799,32.39736053935807,1.2807147186533807,47476.98693847656
20260624_602-616,2026062400612,612,0.0118581373244524,empty~empty,13.71160988066901,32.29084126897552,1.3682731539968427,61511.72705078125
20260624_602-616,2026062400613,613,0.021858137100935,empty~empty,13.833313473358894,32.577453229760195,1.581539295086829,55639.66552734375
20260624_602-616,2026062400614,614,0.0468581356108189,empty~empty,13.745903099419872,32.3716017991338,0.6980434041960013,53885.96203613281
20260624_602-616,2026062400615,615,0.071858137845993,empty~empty,13.741909050076101,32.362195812929215,1.6606819652074059,55646.8291015625
20260624_602-616,2026062400616,616,0.0968581363558769,empty~empty,14.189349526991087,33.41591813606401,1.4729896949568604,104599.07641601562
20260624_692-706,2026062400692,692,-0.10314187407493591,empty~empty,12.39051528253608,29.17966349037247,0.7103030662878623,100292.6742553711
20260624_692-706,2026062400693,693,-0.07814187556505203,empty~empty,11.966176089360854,28.18034469044481,1.2422993341651418,102629.060546875
20260624_692-706,2026062400694,694,-0.05314187332987785,empty~empty,11.76683908509814,27.71090604540612,1.3710776735186867,102462.02081298828
20260624_692-706,2026062400695,695,-0.028141872957348824,empty~empty,11.804158147226651,27.798792436718763,1.239485018182055,103165.87567138672
20260624_692-706,2026062400696,696,-0.01814187318086624,empty~empty,11.806704194979535,27.804788379176802,1.302630701449236,101926.88507080078
20260624_692-706,2026062400697,697,-0.01314187329262495,empty~empty,11.869379304759676,27.952388262709036,1.320499597252807,100782.68212890625
